#CaseId,R.type,R.c.lat,R.c.lon,R.dir.head,R.dir.speed,R.Box.topleft.lat,R.Box.topleft.lon,R.Box.BottomRight.lat,R.Box.BottomRight.lon,Name,SearchScheme,CategoriesOff,CategoriesOn,SliceSize,ExtendedConfig,Language
32,1,37.80563,-122.27444,,,,,,,,atlasbook-standard,AEYQ,1041,10,,
33,1,37.81425,-122.2782,,,,,,,,atlasbook-standard,ACC,11004,10,,
34,1,37.81077,-122.25259,,,,,,,,atlasbook-standard,AHA,3001,10,,
35,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AHMA,3002,10,,
36,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AKMC,4001,10,,
37,1,37.81109,-122.29271,,,,,,,,atlasbook-standard,AHC,3003,10,,
38,1,37.75602,-122.42676,,,,,,,,atlasbook-standard,AHD,3004,10,,
39,1,37.79928,-122.28174,,,,,,,,atlasbook-standard,AKA,4002,10,,
40,1,37.80526,-122.29461,,,,,,,,atlasbook-standard,AKB,4003,10,,
41,1,37.80547,-122.27046,,,,,,,,atlasbook-standard,AKC,4004,10,,
42,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AKMA,4005,10,,
43,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AKMB,4006,10,,
44,1,37.80442,-122.28796,,,,,,,,atlasbook-standard,AKE,4007,10,,
45,1,37.80953,-122.29535,,,,,,,,atlasbook-standard,AKF,4008,10,,
46,1,37.79963,-122.28742,,,,,,,,atlasbook-standard,AKG,4009,10,,
47,1,37.80901,-122.29575,,,,,,,,atlasbook-standard,AKH,4010,10,,
48,1,37.84081,-122.29138,,,,,,,,atlasbook-standard,AID,5001,10,,
49,1,37.80441,-122.28795,,,,,,,,atlasbook-standard,AIC,5002,10,,
50,1,37.809,-122.28631,,,,,,,,atlasbook-standard,AIE,5003,10,,
51,1,37.79963,-122.27566,,,,,,,,atlasbook-standard,AFC,5005,10,,
52,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,ABMA,6001,10,,
53,1,37.83221,-122.28033,,,,,,,,atlasbook-standard,ABB,6003,10,,
54,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,ABMC,6004,10,,
55,1,37.80474,-122.27225,,,,,,,,atlasbook-standard,ABC,6005,10,,
56,1,37.83647,-122.24785,,,,,,,,atlasbook-standard,ABD,6006,10,,
57,1,37.7959,-122.2779,,,,,,,,atlasbook-standard,ABE,6007,10,,
58,1,37.80445,-122.27804,,,,,,,,atlasbook-standard,ABF,6008,10,,
59,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,ABMD,6009,10,,
60,1,37.80696,-122.29331,,,,,,,,atlasbook-standard,ABI,6010,10,,
61,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,ABME,6011,10,,
62,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,ABMF,6012,10,,
63,1,37.81529,-122.28058,,,,,,,,atlasbook-standard,ABJ,6013,10,,
64,1,37.78468,-122.23013,,,,,,,,atlasbook-standard,ABK,6014,10,,
65,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AAMA,7001,10,,
66,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AAMB,7002,10,,
67,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AAMC,7003,10,,
68,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AFMA,8004,10,,
69,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AFMB,8005,10,,
70,1,37.80458,-122.27408,,,,,,,,atlasbook-standard,AFA,8006,10,,
71,1,37.81242,-122.2851,,,,,,,,atlasbook-standard,AFB,8009,10,,
72,1,37.8065,-122.30018,,,,,,,,atlasbook-standard,AFD,8011,10,,
73,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AFMC,8012,10,,
74,1,37.80475,-122.27229,,,,,,,,atlasbook-standard,ALA,9001,10,,
75,1,37.81092,-122.27348,,,,,,,,atlasbook-standard,ALB,9003,10,,
76,1,37.80091,-122.28356,,,,,,,,atlasbook-standard,ALC,9004,10,,
77,1,37.79546,-122.27886,,,,,,,,atlasbook-standard,ALD,9005,10,,
78,1,37.805,-122.27668,,,,,,,,atlasbook-standard,ALE,9006,10,,
79,1,37.79705,-122.2788,,,,,,,,atlasbook-standard,ALF,9008,10,,
80,1,37.79705,-122.2788,,,,,,,,atlasbook-standard,ALG,9009,10,,
81,1,37.8053,-122.29497,,,,,,,,atlasbook-standard,ALH,9010,10,,
82,1,37.81183,-122.30091,,,,,,,,atlasbook-standard,ALJ,9011,10,,
83,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AIMA,10001,10,,
84,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AIMB,10002,10,,
85,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AIMC,10003,10,,
86,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AIMD,10005,10,,
87,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AIME,10007,10,,
88,1,37.81148,-122.29425,,,,,,,,atlasbook-standard,AIF,10009,10,,
89,1,37.81272,-122.29824,,,,,,,,atlasbook-standard,AIG,10010,10,,
90,1,37.80877,-122.29604,,,,,,,,atlasbook-standard,AII,10011,10,,
91,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,AIMF,10012,10,,
92,1,37.8093,-122.29743,,,,,,,,atlasbook-standard,ACMA,11001,10,,
93,1,37.80514,-122.29887,,,,,,,,atlasbook-standard,ACA,11002,10,,
94,1,37.80116,-122.28578,,,,,,,,atlasbook-standard,ACB,11003,10,,
95,1,37.81401,-122.28341,,,,,,,,atlasbook-standard,ACD,11005,10,,
96,1,47.54907,-122.31677,,,,,,,,atlasbook-standard,AE,1000,10,,
97,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMA,1002,10,,
98,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMB,1003,10,,
99,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMC,1004,10,,
100,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMD,1005,10,,
101,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEME,1008,10,,
102,1,47.54758,-122.31897,,,,,,,,atlasbook-standard,AED,1009,10,,
103,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMF,1010,10,,
104,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMG,1011,10,,
105,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMH,1012,10,,
106,1,47.54842,-122.32117,,,,,,,,atlasbook-standard,AEF,1014,10,,
107,1,47.58966,-122.29241,,,,,,,,atlasbook-standard,AEYE,1015,10,,
108,1,47.62263,-122.33039,,,,,,,,atlasbook-standard,AEYF,1016,10,,
109,1,47.54601,-122.27665,,,,,,,,atlasbook-standard,AEYG,1017,10,,
110,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMI,1019,10,,
111,1,47.60144,-122.33418,,,,,,,,atlasbook-standard,AEG,1020,10,,
112,1,47.55179,-122.32692,,,,,,,,atlasbook-standard,AEH,1021,10,,
113,1,47.55325,-122.32095,,,,,,,,atlasbook-standard,AEI,1022,10,,
114,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMJ,1023,10,,
115,1,47.5448,-122.32959,,,,,,,,atlasbook-standard,AEYJ,1024,10,,
116,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEML,1033,10,,
117,1,47.54758,-122.31897,,,,,,,,atlasbook-standard,AEJ,1025,10,,
118,1,47.55658,-122.2843,,,,,,,,atlasbook-standard,AEYL,1026,10,,
119,1,47.54892,-122.31733,,,,,,,,atlasbook-standard,AEK,1028,10,,
120,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMM,1029,10,,
121,1,47.5199,-122.26492,,,,,,,,atlasbook-standard,AEL,1031,10,,
122,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMN,1035,10,,
123,1,47.61327,-122.32082,,,,,,,,atlasbook-standard,AEYN,1036,10,,
124,1,47.59694,-122.33417,,,,,,,,atlasbook-standard,AEYO,1037,10,,
125,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AEMO,1038,10,,
126,1,47.54842,-122.32117,,,,,,,,atlasbook-standard,AEYP,1039,10,,
127,1,47.54842,-122.32117,,,,,,,,atlasbook-standard,AEYQ,1041,10,,
128,1,47.562403,-122.329935,,,,,,,,atlasbook-standard,ACC,11004,10,,
129,1,47.55784,-122.38962,,,,,,,,atlasbook-standard,AHA,3001,10,,
130,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AHMA,3002,10,,
131,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AKMC,4001,10,,
132,1,47.54776,-122.32136,,,,,,,,atlasbook-standard,AHC,3003,10,,
133,1,47.57226,-122.3017,,,,,,,,atlasbook-standard,AKA,4002,10,,
134,1,47.54739,-122.32147,,,,,,,,atlasbook-standard,AKB,4003,10,,
135,1,47.53941,-122.28247,,,,,,,,atlasbook-standard,AKC,4004,10,,
136,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AKMA,4005,10,,
137,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AKMB,4006,10,,
138,1,47.54812,-122.31614,,,,,,,,atlasbook-standard,AKE,4007,10,,
139,1,47.55393,-122.30742,,,,,,,,atlasbook-standard,AKF,4008,10,,
140,1,47.55903,-122.30417,,,,,,,,atlasbook-standard,AKG,4009,10,,
141,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AKH,4010,10,,
142,1,47.5471,-122.31762,,,,,,,,atlasbook-standard,AID,5001,10,,
143,1,47.54755,-122.31607,,,,,,,,atlasbook-standard,AIC,5002,10,,
144,1,47.56227,-122.31137,,,,,,,,atlasbook-standard,AIE,5003,10,,
145,1,47.53707,-122.30256,,,,,,,,atlasbook-standard,AFC,5005,10,,
146,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,ABMA,6001,10,,
147,1,47.51566,-122.31411,,,,,,,,atlasbook-standard,ABB,6003,10,,
148,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,ABMC,6004,10,,
149,1,47.55406,-122.28108,,,,,,,,atlasbook-standard,ABC,6005,10,,
150,1,47.56676,-122.30671,,,,,,,,atlasbook-standard,ABD,6006,10,,
151,1,47.6133,-122.3049,,,,,,,,atlasbook-standard,ABE,6007,10,,
152,1,47.53979,-122.32245,,,,,,,,atlasbook-standard,ABF,6008,10,,
153,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,ABMD,6009,10,,
154,1,47.55119,-122.31889,,,,,,,,atlasbook-standard,ABI,6010,10,,
155,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,ABME,6011,10,,
156,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,ABMF,6012,10,,
157,1,47.54698,-122.3253,,,,,,,,atlasbook-standard,ABJ,6013,10,,
158,1,47.50809,-122.35371,,,,,,,,atlasbook-standard,ABK,6014,10,,
159,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AAMA,7001,10,,
160,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AAMB,7002,10,,
161,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AAMC,7003,10,,
162,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AFMA,8004,10,,
163,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AFMB,8005,10,,
164,1,47.54261,-122.29431,,,,,,,,atlasbook-standard,AFA,8006,10,,
165,1,47.53937,-122.29108,,,,,,,,atlasbook-standard,AFB,8009,10,,
166,1,47.55181,-122.32585,,,,,,,,atlasbook-standard,AFD,8011,10,,
167,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AFMC,8012,10,,
168,1,47.54589,-122.31384,,,,,,,,atlasbook-standard,ALA,9001,10,,
169,1,47.53238,-122.2877,,,,,,,,atlasbook-standard,ALB,9003,10,,
170,1,47.53826,-122.30409,,,,,,,,atlasbook-standard,ALC,9004,10,,
171,1,47.61109,-122.32526,,,,,,,,atlasbook-standard,ALD,9005,10,,
172,1,47.57142,-122.32291,,,,,,,,atlasbook-standard,ALE,9006,10,,
173,1,47.54589,-122.31382,,,,,,,,atlasbook-standard,ALF,9008,10,,
174,1,47.54589,-122.31382,,,,,,,,atlasbook-standard,ALG,9009,10,,
175,1,47.55898,-122.2921,,,,,,,,atlasbook-standard,ALH,9010,10,,
176,1,47.54602,-122.31394,,,,,,,,atlasbook-standard,ALJ,9011,10,,
177,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AIMA,10001,10,,
178,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AIMB,10002,10,,
179,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AIMC,10003,10,,
180,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AIMD,10005,10,,
181,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AIME,10007,10,,
182,1,47.55915,-122.30419,,,,,,,,atlasbook-standard,AIF,10009,10,,
183,1,47.54507,-122.29254,,,,,,,,atlasbook-standard,AIG,10010,10,,
184,1,47.55061,-122.30993,,,,,,,,atlasbook-standard,AII,10011,10,,
185,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,AIMF,10012,10,,
186,1,47.55053,-122.30985,,,,,,,,atlasbook-standard,ACMA,11001,10,,
187,1,47.54718,-122.31062,,,,,,,,atlasbook-standard,ACA,11002,10,,
188,1,47.55674,-122.30988,,,,,,,,atlasbook-standard,ACB,11003,10,,
189,1,47.57511,-122.29571,,,,,,,,atlasbook-standard,ACD,11005,10,,
190,1,40.80355,-96.68294,,,,,,,,atlasbook-standard,AE,1000,10,,
191,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMA,1002,10,,
192,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMB,1003,10,,
193,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMC,1004,10,,
194,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMD,1005,10,,
195,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEME,1008,10,,
196,1,40.82049,-96.68234,,,,,,,,atlasbook-standard,AED,1009,10,,
197,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMF,1010,10,,
198,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMG,1011,10,,
199,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMH,1012,10,,
200,1,40.81358,-96.68496,,,,,,,,atlasbook-standard,AEF,1014,10,,
201,1,40.81363,-96.7054,,,,,,,,atlasbook-standard,AEYE,1015,10,,
202,1,40.91065,-97.09828,,,,,,,,atlasbook-standard,AEYF,1016,10,,
203,1,40.81363,-96.70102,,,,,,,,atlasbook-standard,AEYG,1017,10,,
204,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMI,1019,10,,
205,1,40.81511,-96.70996,,,,,,,,atlasbook-standard,AEG,1020,10,,
206,1,40.79171,-96.68143,,,,,,,,atlasbook-standard,AEH,1021,10,,
207,1,40.81507,-96.69672,,,,,,,,atlasbook-standard,AEI,1022,10,,
208,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMJ,1023,10,,
209,1,40.8158,-96.7037,,,,,,,,atlasbook-standard,AEYJ,1024,10,,
210,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEML,1033,10,,
211,1,40.80355,-96.68294,,,,,,,,atlasbook-standard,AEJ,1025,10,,
212,1,40.81378,-96.70108,,,,,,,,atlasbook-standard,AEYL,1026,10,,
213,1,40.80411,-96.68242,,,,,,,,atlasbook-standard,AEK,1028,10,,
214,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMM,1029,10,,
215,1,40.81319,-96.68521,,,,,,,,atlasbook-standard,AEL,1031,10,,
216,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMN,1035,10,,
217,1,40.81319,-96.68521,,,,,,,,atlasbook-standard,AEYO,1037,10,,
218,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AEMO,1038,10,,
219,1,40.81921,-96.68229,,,,,,,,atlasbook-standard,AEYP,1039,10,,
220,1,40.81929,-96.68233,,,,,,,,atlasbook-standard,AEYQ,1041,10,,
221,1,40.80432,-96.68237,,,,,,,,atlasbook-standard,ACC,11004,10,,
222,1,40.81874,-96.68513,,,,,,,,atlasbook-standard,AHA,3001,10,,
223,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AHMA,3002,10,,
224,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AKMC,4001,10,,
225,1,40.79997,-96.68965,,,,,,,,atlasbook-standard,AHC,3003,10,,
226,1,40.81584,-96.70213,,,,,,,,atlasbook-standard,AKA,4002,10,,
227,1,40.8135,-96.68058,,,,,,,,atlasbook-standard,AKB,4003,10,,
228,1,40.81484,-96.6537,,,,,,,,atlasbook-standard,AKC,4004,10,,
229,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AKMA,4005,10,,
230,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AKMB,4006,10,,
231,1,40.79897,-96.67267,,,,,,,,atlasbook-standard,AKE,4007,10,,
232,1,40.79535,-96.68102,,,,,,,,atlasbook-standard,AKF,4008,10,,
233,1,40.79993,-96.67283,,,,,,,,atlasbook-standard,AKG,4009,10,,
234,1,40.80413,-96.68242,,,,,,,,atlasbook-standard,AKH,4010,10,,
235,1,40.79565,-96.62499,,,,,,,,atlasbook-standard,AID,5001,10,,
236,1,40.7989,-96.67375,,,,,,,,atlasbook-standard,AIC,5002,10,,
237,1,40.79165,-96.6858,,,,,,,,atlasbook-standard,AIE,5003,10,,
238,1,40.81397,-96.69959,,,,,,,,atlasbook-standard,AFC,5005,10,,
239,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,ABMA,6001,10,,
240,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,ABMC,6004,10,,
241,1,40.80659,-96.69821,,,,,,,,atlasbook-standard,ABC,6005,10,,
242,1,40.79282,-96.66641,,,,,,,,atlasbook-standard,ABD,6006,10,,
243,1,40.816,-96.7025,,,,,,,,atlasbook-standard,ABE,6007,10,,
244,1,40.81128,-96.69162,,,,,,,,atlasbook-standard,ABF,6008,10,,
245,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,ABMD,6009,10,,
246,1,40.80618,-96.6847,,,,,,,,atlasbook-standard,ABI,6010,10,,
247,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,ABME,6011,10,,
248,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,ABMF,6012,10,,
249,1,40.66837,-96.69124,,,,,,,,atlasbook-standard,ABJ,6013,10,,
250,1,40.81362,-96.69507,,,,,,,,atlasbook-standard,ABK,6014,10,,
251,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AAMA,7001,10,,
252,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AAMB,7002,10,,
253,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AAMC,7003,10,,
254,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AFMA,8004,10,,
255,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AFMB,8005,10,,
256,1,40.80918,-96.6997,,,,,,,,atlasbook-standard,AFA,8006,10,,
257,1,40.79165,-96.68285,,,,,,,,atlasbook-standard,AFB,8009,10,,
258,1,40.81366,-96.67009,,,,,,,,atlasbook-standard,AFD,8011,10,,
259,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AFMC,8012,10,,
260,1,40.84574,-96.74504,,,,,,,,atlasbook-standard,ALA,9001,10,,
261,1,40.80812,-96.71129,,,,,,,,atlasbook-standard,ALB,9003,10,,
262,1,40.81131,-96.70243,,,,,,,,atlasbook-standard,ALC,9004,10,,
263,1,40.80689,-96.6976,,,,,,,,atlasbook-standard,ALD,9005,10,,
264,1,40.79791,-96.6849,,,,,,,,atlasbook-standard,ALE,9006,10,,
265,1,40.80689,-96.6976,,,,,,,,atlasbook-standard,ALF,9008,10,,
266,1,40.80689,-96.6976,,,,,,,,atlasbook-standard,ALG,9009,10,,
267,1,40.82175,-96.67417,,,,,,,,atlasbook-standard,ALH,9010,10,,
268,1,40.81353,-96.67885,,,,,,,,atlasbook-standard,ALJ,9011,10,,
269,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AIMA,10001,10,,
270,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AIMB,10002,10,,
271,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AIMC,10003,10,,
272,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AIMD,10005,10,,
273,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AIME,10007,10,,
274,1,40.80618,-96.68126,,,,,,,,atlasbook-standard,AIF,10009,10,,
275,1,40.80713,-96.66674,,,,,,,,atlasbook-standard,AIG,10010,10,,
276,1,40.80216,-96.6841,,,,,,,,atlasbook-standard,AII,10011,10,,
277,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,AIMF,10012,10,,
278,1,40.80305,-96.68066,,,,,,,,atlasbook-standard,ACMA,11001,10,,
279,1,40.80545,-96.68236,,,,,,,,atlasbook-standard,ACA,11002,10,,
280,1,40.79898,-96.68642,,,,,,,,atlasbook-standard,ACB,11003,10,,
281,1,40.81353,-96.67885,,,,,,,,atlasbook-standard,ACD,11005,10,,
282,1,32.78395,-96.78323,,,,,,,,atlasbook-standard,AE,1000,10,,
283,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMA,1002,10,,
284,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMB,1003,10,,
285,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMC,1004,10,,
286,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMD,1005,10,,
287,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEME,1008,10,,
288,1,32.78614,-96.79525,,,,,,,,atlasbook-standard,AED,1009,10,,
289,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMF,1010,10,,
290,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMG,1011,10,,
291,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMH,1012,10,,
292,1,32.7828,-96.78513,,,,,,,,atlasbook-standard,AEF,1014,10,,
293,1,32.78702,-96.79724,,,,,,,,atlasbook-standard,AEYE,1015,10,,
294,1,32.78614,-96.79525,,,,,,,,atlasbook-standard,AEYF,1016,10,,
295,1,32.78275,-96.79662,,,,,,,,atlasbook-standard,AEYG,1017,10,,
296,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMI,1019,10,,
297,1,32.78244,-96.79936,,,,,,,,atlasbook-standard,AEG,1020,10,,
298,1,32.78519,-96.78107,,,,,,,,atlasbook-standard,AEH,1021,10,,
299,1,32.78614,-96.79525,,,,,,,,atlasbook-standard,AEI,1022,10,,
300,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMJ,1023,10,,
301,1,32.7983,-96.80121,,,,,,,,atlasbook-standard,AEYJ,1024,10,,
302,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEML,1033,10,,
303,1,32.78421,-96.78189,,,,,,,,atlasbook-standard,AEJ,1025,10,,
304,1,32.78549,-96.80941,,,,,,,,atlasbook-standard,AEYL,1026,10,,
305,1,32.78519,-96.78107,,,,,,,,atlasbook-standard,AEK,1028,10,,
306,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMM,1029,10,,
307,1,32.78468,-96.78375,,,,,,,,atlasbook-standard,AEL,1031,10,,
308,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMN,1035,10,,
309,1,32.78797,-96.79802,,,,,,,,atlasbook-standard,AEYN,1036,10,,
310,1,32.78468,-96.78375,,,,,,,,atlasbook-standard,AEYO,1037,10,,
311,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AEMO,1038,10,,
312,1,32.78151,-96.79875,,,,,,,,atlasbook-standard,AEYP,1039,10,,
313,1,32.78456,-96.78429,,,,,,,,atlasbook-standard,AEYQ,1041,10,,
314,1,32.7941,-96.77658,,,,,,,,atlasbook-standard,ACC,11004,10,,
315,1,32.79369,-96.77504,,,,,,,,atlasbook-standard,AHA,3001,10,,
316,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AHMA,3002,10,,
317,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AKMC,4001,10,,
318,1,32.79095,-96.78034,,,,,,,,atlasbook-standard,AHC,3003,10,,
319,1,32.78438,-96.78101,,,,,,,,atlasbook-standard,AKA,4002,10,,
320,1,32.78413,-96.78622,,,,,,,,atlasbook-standard,AKB,4003,10,,
321,1,32.78097,-96.79756,,,,,,,,atlasbook-standard,AKC,4004,10,,
322,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AKMA,4005,10,,
323,1,32.78404,-96.78277,,,,,,,,atlasbook-standard,AKMB,4006,10,,
